ciudad,date,value
Riberalta,2017-06-01,1771.5345061277858
Oruro,2017-06-01,26582.739223043875
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2017-06-01,66045.1957818277
Trinidad,2017-06-01,3128.6542730158308
Potosí,2017-06-01,11047.981762843156
Sucre,2017-06-01,10803.754645190002
Tarija,2017-06-01,9360.03924172585
Montero,2017-06-01,3947.8274605543006
Santa Cruz de la Sierra,2017-06-01,69094.66896125568
Santa Cruz Metrópoli,2017-06-01,112763.99483401718
El Alto; La Paz,2017-07-01,81740.9577762105
Caranavi,2017-07-01,408.0908090777953
Riberalta,2017-07-01,1968.1634839697103
Oruro,2017-07-01,25149.206728875055
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2017-07-01,66004.37782876997
Trinidad,2017-07-01,3228.037235278827
Potosí,2017-07-01,10806.82041696278
Sucre,2017-07-01,10666.689075757591
Tarija,2017-07-01,9366.88377958484
Montero,2017-07-01,4279.343396796314
Santa Cruz de la Sierra,2017-07-01,78702.03658188488
Santa Cruz Metrópoli,2017-07-01,123261.7702050634
El Alto; La Paz,2017-08-01,80023.61739868221
Caranavi,2017-08-01,501.8525980942973
Riberalta,2017-08-01,1675.0344558988722
Oruro,2017-08-01,25462.00898545694
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2017-08-01,69336.82927395396
Trinidad,2017-08-01,2951.379602156959
Potosí,2017-08-01,13290.435435499512
Sucre,2017-08-01,10769.38521951514
Tarija,2017-08-01,9024.83580876647
Montero,2017-08-01,3926.762141724659
Santa Cruz de la Sierra,2017-08-01,74366.4734564596
Santa Cruz Metrópoli,2017-08-01,126000.91282505196
El Alto; La Paz,2017-09-01,66175.14622265557
Caranavi,2017-09-01,406.75871071193137
Riberalta,2017-09-01,1692.1086232428452
Oruro,2017-09-01,23620.976340872636
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2017-09-01,65055.69662293198
Trinidad,2017-09-01,2542.106290270885
Potosí,2017-09-01,10160.70679611353
Sucre,2017-09-01,10377.837912695672
Tarija,2017-09-01,8391.034977680907
Montero,2017-09-01,3565.5850797460344
Santa Cruz de la Sierra,2017-09-01,69203.94448390801
Santa Cruz Metrópoli,2017-09-01,145245.65488692568
El Alto; La Paz,2017-10-01,80078.12958029093
Caranavi,2017-10-01,471.4095674270508
Riberalta,2017-10-01,1686.3924319553025
Oruro,2017-10-01,23710.868393682613
Cochabamba; Sacaba; Quillacollo; Colcapirhua; Tiquipaya; Vinto,2017-10-01,63248.76462977484
Trinidad,2017-10-01,2967.574157551575
Potosí,2017-10-01,10035.36036863199
Sucre,2017-10-01,8987.685175389874
Tarija,2017-10-01,7467.994720636395
Montero,2017-10-01,3934.4209342828
Santa Cruz de la Sierra,2017-10-01,73958.47524238312
Santa Cruz Metrópoli,2017-10-01,150994.3391513621
El Alto; La Paz,2017-11-01,79919.60193099607
